storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
757;10.02.1984;03.01.1999;1;48;13;2151 WEST OAKLAWN;Pleasanton;TX;78064;Supercenter
758;11/13/1984 ;03.01.1995;1;13;261;1711 E LAMAR STREET;Americus;GA;31709;Supercenter
759;10/16/1984 ;7/18/2001 ;1;12;49;1480 US HWY 17 N;Wauchula;FL;33873;Supercenter
760;02.05.1985;;;21;27;US 60;Hardinsburg;KY;40143;Wal-Mart
761;4/30/1985 ;;;22;57;4876 HWY 1 SOUTH;Mathews;LA;70375;Wal-Mart
762;11/13/1984 ;1/28/2004 ;1;1;73;9248 PARKWAY EAST;Birmingham;AL;35206;Supercenter
763;11/13/1984 ;;;1;73;7100 AARON ARONOV DRIVE;Fairfield;AL;35064;Wal-Mart
764;11/13/1984 ;03.01.1995;1;1;73;750 ACADEMY DRIVE;Bessemer;AL;35022;Supercenter
765;11/29/1984 ;03.01.2002;1;48;29;16503 NACOGDOCHES ROAD;San Antonio;TX;78247;Supercenter
766;11/13/1984 ;03.01.1996;1;1;77;3100 HOUGH RD;Florence;AL;35630;Supercenter
767;1/22/1985 ;03.01.1995;1;12;23;2767 W US HWY 90;Lake City;FL;32055;Supercenter
768;10/23/1984 ;5/23/2001 ;1;48;201;1313 FRY ROAD;Katy;TX;77449;Supercenter
769;06.04.1985;03.01.1995;1;12;115;4150 S TAMIAMI TRAIL;Venice;FL;34293;Supercenter
770;4/30/1985 ;4/14/2004 ;1;20;9;3503 TENTH STREET;Great Bend;KS;67530;Supercenter
771;5/21/1985 ;03.01.1995;1;12;9;1500 E MERRITT ISLAND CSWY;Merritt Island;FL;32952;Supercenter
772;10/22/1985 ;10/29/2003 ;1;48;201;3506 S. HWY 6 SOUTH;Houston;TX;77082;Supercenter
773;8/30/1985 ;;;22;97;1960 W. LAUREL STREET;Eunice;LA;70535;Wal-Mart
774;4/30/1985 ;4/13/2005 ;1;31;141;818 EAST 23RD ST.;Columbus;NE;68601;Supercenter
775;10.01.1985;;;17;95;2031 NATIONAL BLVD;Galesburg;IL;61401;Wal-Mart
776;06.04.1985;03.01.1996;1;31;53;3010 E  23RD AVE N;Fremont;NE;68025;Supercenter
777;07.02.1985;03.01.1996;1;48;361;3115 EDGAR BROWN DR;West Orange;TX;77630;Supercenter
778;5/21/1985 ;;;12;15;3811 TAMIAMI TRAIL;Punta Gorda;FL;33950;Wal-Mart
779;4/30/1985 ;;;12;105;3501 S FLORIDA AVE;Lakeland;FL;33803;Wal-Mart
780;5/21/1985 ;5/19/2004 ;1;13;297;2050 WEST SPRING ST;Monroe;GA;30655;Supercenter
781;7/16/1985 ;03.01.1995;1;48;53;2700 HIGHWAY 281 NORTH;Marble Falls;TX;78654;Supercenter
782;8/20/1985 ;10/27/2004 ;1;48;463;3100 EAST MAIN;Uvalde;TX;78801;Supercenter
783;07.02.1985;;;29;121;705 EAST BRIGGS DRIVE;Macon;MO;63552;Wal-Mart
784;4/30/1985 ;3/17/2004 ;1;19;87;1045 NO. GRAND AVENUE;Mt. Pleasant;IA;52641;Supercenter
785;06.04.1985;04.10.2002;1;28;153;1350 AZALEA DRIVE;Waynesboro;MS;39367;Supercenter
786;12/31/1985 ;03.01.1997;1;17;37;2300 SYCAMORE ROAD;De Kalb;IL;60115;Supercenter
787;7/30/1985 ;10/20/2004 ;1;13;63;7050 HIGHWAY 85;Riverdale;GA;30274;Supercenter
788;09.10.1985;4/18/2001 ;1;5;141;1966 HWY 65 SOUTH;Clinton;AR;72031;Supercenter
789;10/29/1985 ;03.01.1999;1;48;113;200 U.S. HWY 80 EAST;Mesquite;TX;75149;Supercenter
790;7/16/1985 ;03.01.1995;1;31;145;1902 WEST B;McCook;NE;69001;Supercenter
791;7/16/1985 ;5/19/2004 ;1;48;249;2701 EAST MAIN;Alice;TX;78332;Supercenter
792;07.02.1985;;;17;131;1500 SE 5TH STREET;Aledo;IL;61231;Wal-Mart
793;10.01.1985;3/23/2005 ;1;48;381;1701 NORTH 23RD ST;Canyon;TX;79015;Supercenter
794;7/16/1985 ;10/23/2002 ;1;20;155;1905 E 17TH STREET;Hutchinson;KS;67501;Supercenter
795;5/14/1985 ;03.01.1997;1;45;11;11391 DUNBARTON BLVD;Barnwell;SC;29812;Supercenter
796;04.01.1986;;;17;99;1650 38TH STREET;Peru;IL;61354;Wal-Mart
797;09.10.1985;03.01.1997;1;19;57;324 WEST AGENCY ROAD;Burlington;IA;52655;Supercenter
798;8/30/1985 ;;;17;23;1608 IL HWY #1;Marshall;IL;62441;Wal-Mart
799;07.02.1985;03.01.1998;1;20;175;250 EAST TUCKER ROAD;Liberal;KS;67901;Supercenter
800;09.10.1985;03.01.1998;1;12;69;2501 N CITRUS BLVD;Leesburg;FL;34748;Supercenter
801;10.08.1985;03.01.2000;1;29;147;1605 S MAIN ST;Maryville;MO;64468;Supercenter
802;7/16/1985 ;;;55;45;424 WEST 8TH STREET;Monroe;WI;53566;Wal-Mart
803;8/30/1985 ;;;22;117;218 CUMBERLAND;Bogalusa;LA;70427;Wal-Mart
804;8/30/1985 ;8/24/2005 ;1;48;363;601 NO. FM 1821;Mineral Wells;TX;76067;Supercenter
805;09.02.1983;;;29;189;653 GRAVOIS BLUFFS BLVD;Fenton;MO;63026;Wal-Mart
806;8/30/1985 ;03.01.1998;1;35;13;571 S. WALTON BLVD.;Las Cruces;NM;88001;Supercenter
807;10/29/1985 ;03.01.1999;1;48;439;6401 NE LOOP 820;North Richland Hills;TX;76180;Supercenter
808;11.12.1985;03.01.1994;1;48;39;121 HWY 332 WEST;Lake Jackson;TX;77566;Supercenter
809;8/30/1985 ;03.01.1997;1;1;15;92 PLAZA LANE;Oxford;AL;36203;Supercenter
810;06.04.1985;7/17/2002 ;1;19;33;4151 FOURTH STREET SW;Mason City;IA;50401;Supercenter
811;7/16/1985 ;3/19/2003 ;1;12;27;2725 SOUTHEAST HWY 70;Arcadia;FL;34266;Supercenter
812;7/16/1985 ;3/17/2004 ;1;48;341;2003 SOUTH DUMAS AVENUE;Dumas;TX;79029;Supercenter
813;10.08.1985;03.01.1994;1;48;49;401 W COMMERCE;Brownwood;TX;76801;Supercenter
814;7/16/1985 ;03.01.1999;1;12;93;2101 SOUTH PARROT AVE;Okeechobee;FL;34974;Supercenter
815;8/30/1985 ;03.01.1996;1;29;29;4252 HWY 54;Osage Beach;MO;65065;Supercenter
816;10.08.1985;03.01.1994;1;28;85;960 BROOKWAY BLVD;Brookhaven;MS;39601;Supercenter
817;10.08.1985;03.01.1996;1;12;97;4444 WEST VINE;Kissimmee;FL;34746;Supercenter
818;12/31/1985 ;03.01.1996;1;12;5;10270 FRONT BEACH RD;Panama City Beach;FL;32407;Supercenter
819;7/30/1985 ;03.01.1995;1;12;71;1619 DEL PRADO BLVD;Cape Coral;FL;33990;Supercenter
820;8/30/1985 ;;;29;53;1920 MAIN STREET;Boonville;MO;65233;Wal-Mart
821;10/16/1985 ;03.01.1998;1;35;9;3728 N PRINCE STREET;Clovis;NM;88101;Supercenter
822;1/21/1986 ;03.01.1994;1;48;375;3700 I-40 EAST;Amarillo;TX;79103;Supercenter
823;11.12.1985;03.01.1994;1;40;71;1101 EAST PROSPECT;Ponca City;OK;74601;Supercenter
824;07.02.1985;;;35;1;8000 ACADEMY ROAD NE;Albuquerque;NM;87111;Wal-Mart
825;8/19/1986 ;7/20/2005 ;1;21;137;1283 US HIGHWAY 27 NORTH;Stanford;KY;40484;Supercenter
826;07.02.1985;3/13/2002 ;1;35;45;4600 EAST MAIN;Farmington;NM;87402;Supercenter
827;8/30/1985 ;03.01.1996;1;48;467;603 HWY 243 EAST;Canton;TX;75103;Supercenter
828;10/22/1985 ;10/26/2005 ;1;18;63;2373 E MAIN STREET;Indianapolis;IN;46168;Supercenter
829;07.02.1985;;;35;49;3251 CERILLOS RD;Santa Fe;NM;87505;Wal-Mart
830;1/21/1986 ;;;17;195;1901 FIRST AVENUE;Rock Falls;IL;61071;Wal-Mart
831;07.02.1985;4/23/2003 ;1;35;1;301 SAN MATEO BLVD SE;Albuquerque;NM;87108;Supercenter
833;10.08.1985;10/30/2002 ;1;17;193;1344 ILLINOIS HWY #1;Carmi;IL;62821;Supercenter
834;11.12.1985;10/27/2004 ;1;29;81;810 SO. 37TH ST.;Bethany;MO;64424;Supercenter
835;07.02.1985;09.03.2002;1;35;1;400 EUBANK BLVD NE;Albuquerque;NM;87123;Supercenter
836;7/30/1985 ;03.01.2004;1;13;39;6586 HWY 40 EAST;St. Marys;GA;31558;Supercenter
837;10.01.1985;;;29;149;333 EAST WALNUT;Thayer;MO;65791;Wal-Mart
